,YearsCodeS,YearsCodeProS,PreviousSalaryS,ComputerSkillsS
0,-0.7685051306261601,-0.644986482458593,-0.3240037248618465,-1.375371703782033
1,-0.22066890433001302,-0.5150822802453351,-0.42655597962956265,-0.23450061260177316
2,0.10803283144767525,-0.38517807803207704,0.19660572942049667,-0.9475450445894356
3,-0.5493706401077013,-0.38517807803207704,-0.4335748420367417,-0.0918917262042407
4,-0.5493706401077013,-0.904794886885109,-0.5796157255521087,-1.2327628173845004
5,1.313272529299199,1.173672348527019,0.2075486820495567,0.4785438193858892
6,2.737646717669181,1.5633849551667929,0.018949624169046678,-1.5179805901795653
7,0.6558690577438223,0.913863944100503,-0.6031400396142101,-1.090153930986968
8,-1.0972068664038483,-0.904794886885109,1.1126987508070583,0.6211527057834216
9,-0.8780723758853896,-0.904794886885109,-1.1274308568882148,-0.0918917262042407
10,0.546301812484593,0.13443873082095495,-0.1423021657734057,-1.2327628173845004
11,-0.6589378853669307,-1.164603291311625,0.7166488201656611,-0.9475450445894356
12,0.8750035482622812,0.7839597418872449,-0.14341466557857815,0.3359349329883567
13,-0.7685051306261601,-1.034699089098367,-0.9509681605186772,-1.2327628173845004
14,-0.22066890433001302,-0.38517807803207704,-0.8419836341501455,1.6194149105661488
15,2.1898104913730343,0.39424713524747096,-0.05947149846101954,0.05071716019329177
16,0.7654363030030518,0.913863944100503,-0.2734962337070166,0.4785438193858892
17,1.2037052840399693,0.13443873082095495,0.08656938505434753,-1.090153930986968
18,0.6558690577438223,0.13443873082095495,-0.186033521751276,-0.9475450445894356
19,1.09413803878074,1.173672348527019,1.2479382725776598,-0.23450061260177316
20,1.2037052840399693,0.7839597418872449,0.7571033585355689,-1.090153930986968
21,-0.43980339484847186,-0.12536967360556103,1.6928775128390905,-0.804936158191903
22,-0.22066890433001302,-0.25527387581881905,-0.478620970511634,1.4768060241686165
23,1.2037052840399693,-0.38517807803207704,-0.5104182376703815,1.048979364976019
24,1.861108755595346,1.043768146313761,0.5607977110955914,-0.5197183853968381
25,0.4367345672253635,-1.034699089098367,0.6559670126107994,-0.804936158191903
26,1.313272529299199,0.654055539673987,-0.1248460324667905,-0.5197183853968381
27,-0.43980339484847186,-0.644986482458593,-0.8138272754446898,1.048979364976019
28,-0.43980339484847186,-0.25527387581881905,-1.2612544698158696,-1.375371703782033
29,-0.6589378853669307,-0.7748906846718511,1.694374330758777,-0.3771094989993056
30,0.4367345672253635,-0.12536967360556103,-0.8681981750138458,0.6211527057834216
31,-1.0972068664038483,-1.034699089098367,-1.2092299334721683,-1.2327628173845004
32,2.628079472409952,2.2129059662330826,1.3472541642757834,0.05071716019329177
33,-0.43980339484847186,-0.7748906846718511,-0.05947149846101954,-0.804936158191903
34,-0.43980339484847186,-0.12536967360556103,-0.5796157255521087,-0.0918917262042407
35,-0.6589378853669307,-0.7748906846718511,-1.2667562870341773,-0.3771094989993056
36,-0.8780723758853896,-1.034699089098367,-0.76989364677497,2.7602860017464086
37,-0.11110165907078358,-0.904794886885109,-1.0781572291536672,0.4785438193858892
38,-0.43980339484847186,-0.904794886885109,-0.49215301359636815,0.4785438193858892
39,-1.2067741116630777,-1.164603291311625,-1.3657889969637114,-0.804936158191903
40,-0.22066890433001302,-0.38517807803207704,1.4650577800089548,0.05071716019329177
41,-0.8780723758853896,-0.644986482458593,-1.0810699559163006,1.7620237969636814
42,0.3271673219661341,-0.12536967360556103,-0.9419872530005576,-0.9475450445894356
43,-0.7685051306261601,-1.034699089098367,-0.27448736989707934,-0.5197183853968381
44,1.4228397745584282,0.913863944100503,2.678693931106188,0.7637615921809541
45,0.3271673219661341,-0.5150822802453351,-0.6320245800103242,1.334197137771084
46,-1.4259086021815366,-0.7748906846718511,-0.5823868614304474,0.9063704785784866
47,-0.9876396211446189,-0.7748906846718511,-0.38371462349583035,2.0472415697587465
48,1.7515415103361165,2.0830017640198246,-0.16416784376234086,-0.5197183853968381
49,-1.0972068664038483,-0.904794886885109,-1.070389957786645,-0.804936158191903
50,2.628079472409952,3.252139583939147,2.678693931106188,-1.2327628173845004
51,1.4228397745584282,0.26434293303421297,0.6011106585812045,1.1915882513735516
52,0.10803283144767525,-0.5150822802453351,0.16023709942594958,-1.090153930986968
53,-0.7685051306261601,-0.5150822802453351,-0.3609589456627572,-0.23450061260177316
54,1.861108755595346,2.0830017640198246,0.050099618713875665,-0.3771094989993056
55,0.6558690577438223,-0.25527387581881905,-1.3194280959917972,0.7637615921809541
56,2.9567812081876403,1.953097561806567,0.9593760503851078,-0.3771094989993056
57,-0.6589378853669307,-0.25527387581881905,0.7249015459931223,0.19332604659082425
58,-0.11110165907078358,-0.12536967360556103,-0.517214600116526,0.6211527057834216
59,3.0663484534468695,1.693289157380051,0.07125734228133743,-1.8031983629746304
60,-0.6589378853669307,-0.644986482458593,-1.0145626948361721,-1.090153930986968
61,-1.0972068664038483,-0.904794886885109,-1.0665063221031337,-0.6623272717943706
